symbol,setup_type,d_minus_2,signal_day,trade_day,d2_open,d2_close,d1_open,d1_close,d1_body_abs,d1_range,bars_trade_day
5m_data,FRD,2016-11-17,2016-11-18,2016-11-21,4778.8,4831.7,4830.2,4812.4,17.800000000000182,37.30000000000018,272
5m_data,FGD,2016-11-18,2016-11-21,2016-11-22,4830.2,4812.4,4806.4,4858.8,52.400000000000546,58.5,272
5m_data,FRD,2016-11-22,2016-11-23,2016-11-24,4858.0,4879.8,4877.7,4851.5,26.199999999999818,52.0,228
5m_data,FGD,2016-11-23,2016-11-24,2016-11-25,4877.7,4851.5,4849.3,4865.1,15.800000000000182,23.600000000000364,231
5m_data,FRD,2016-11-25,2016-11-28,2016-11-29,4861.0,4872.2,4865.0,4861.0,4.0,37.0,271
5m_data,FGD,2016-11-28,2016-11-29,2016-11-30,4865.0,4861.0,4859.4,4876.4,17.0,50.0,272
5m_data,FRD,2016-11-29,2016-11-30,2016-12-01,4859.4,4876.4,4873.7,4819.1,54.599999999999454,71.80000000000018,272
5m_data,FGD,2016-12-01,2016-12-02,2016-12-05,4819.9,4737.1,4732.0,4737.1,5.100000000000364,51.400000000000546,272
5m_data,FRD,2016-12-09,2016-12-12,2016-12-13,4865.4,4899.5,4897.8,4871.6,26.199999999999818,64.30000000000018,272
5m_data,FGD,2016-12-12,2016-12-13,2016-12-14,4897.8,4871.6,4868.4,4946.1,77.70000000000073,102.20000000000073,272
5m_data,FRD,2016-12-13,2016-12-14,2016-12-15,4868.4,4946.1,4942.8,4936.0,6.800000000000182,46.30000000000018,272
5m_data,FGD,2016-12-14,2016-12-15,2016-12-16,4942.8,4936.0,4933.4,4943.9,10.5,43.30000000000018,272
5m_data,FRD,2016-12-15,2016-12-16,2016-12-19,4933.4,4943.9,4940.7,4919.2,21.5,47.099999999999454,272
5m_data,FGD,2016-12-16,2016-12-19,2016-12-20,4940.7,4919.2,4920.0,4946.7,26.699999999999818,53.600000000000364,272
5m_data,FRD,2016-12-20,2016-12-21,2016-12-22,4943.5,4963.0,4960.2,4954.0,6.199999999999818,20.599999999999454,272
5m_data,FGD,2016-12-22,2016-12-23,2016-12-27,4951.5,4940.0,4938.1,4947.9,9.799999999999272,20.399999999999636,260
5m_data,FRD,2016-12-27,2016-12-28,2016-12-29,4949.2,4966.6,4964.9,4928.9,36.0,58.80000000000018,273
5m_data,FGD,2016-12-30,2017-01-03,2017-01-04,4923.4,4871.1,4894.2,4912.8,18.600000000000364,49.0,273
